structure_index,dihedral_deg,atom_index,Z,q0,q_l0_0,q_l1_0,q_l1_1,q_l1_2,q_l1_norm,q_l2_0,q_l2_1,q_l2_2,q_l2_3,q_l2_4,q_l2_norm
709,150.6599995049386,1,1,-1.7059316635131836,0.0024258936755359173,-0.004911061841994524,0.0016699736006557941,0.0,0.005187228322029114,0.013533946126699448,0.00428697420284152,0.0,0.0,0.012193450704216957,0.01871432736515999
709,150.6599995049386,2,1,-1.7059317827224731,0.0024258936755359173,-0.004911062307655811,-0.0016699734842404723,0.0,0.005187228787690401,0.013533946126699448,-0.00428697420284152,0.0,0.0,0.012193451635539532,0.018714329227805138
709,150.6599995049386,3,6,0.6997026801109314,0.010881757363677025,-0.043873660266399384,0.0,0.0,0.043873660266399384,-0.0028326380997896194,0.0,0.0,0.0,0.045946817845106125,0.04603405296802521
709,150.6599995049386,4,6,0.7093710899353027,0.0032410435378551483,-0.00163179577793926,0.0,0.0,0.00163179577793926,-0.03257395327091217,0.0,0.0,0.0,0.01880664750933647,0.037613194435834885
709,150.6599995049386,5,6,0.7115345597267151,0.004523945972323418,0.0001551807508803904,0.0,0.0,0.0001551807508803904,-0.033257316797971725,0.0,0.0,0.0,0.019201116636395454,0.038402240723371506
709,150.6599995049386,6,6,0.7111343741416931,0.004366659093648195,9.254666477609419e-11,0.0,0.0,9.254666477609419e-11,-0.03302139788866043,0.0,0.0,0.0,0.019064920023083687,0.03812982887029648
709,150.6599995049386,7,6,0.7115345597267151,0.0045239487662911415,-0.00015518160944338888,0.0,0.0,0.00015518160944338888,-0.033257316797971725,0.0,0.0,0.0,0.019201137125492096,0.0384022481739521
709,150.6599995049386,8,6,0.7093710899353027,0.0032410442363470793,0.0016317940317094326,0.0,0.0,0.0016317940317094326,-0.03257395327091217,0.0,0.0,0.0,0.018806640058755875,0.037613190710544586
709,150.6599995049386,9,6,0.6997027397155762,0.010881764814257622,0.043873682618141174,0.0,0.0,0.043873682618141174,-0.010273780673742294,0.0,0.0,0.030343471094965935,0.03305837884545326,0.04603404551744461
709,150.6599995049386,10,1,-1.7059317827224731,0.0024258927442133427,0.004911060445010662,0.001499344827607274,-0.0007353691617026925,0.0051872264593839645,0.010174153372645378,-0.0038489610888063908,0.0018877637339755893,0.013700539246201515,0.006374124903231859,0.01871431991457939
