Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  736920 |  5.36e-04 |     -- |  6.06e+00 |  8.05e+00 |     -- |  2.08e+01 |  3.17e+01
  740925 |  5.30e-04 |     -- |  6.40e+00 |  8.35e+00 |     -- |  2.08e+01 |  3.15e+01
  744930 |  4.89e-04 |     -- |  7.59e+00 |  9.69e+00 |     -- |  2.00e+01 |  2.97e+01
  748935 |  5.29e-04 |     -- |  5.02e+00 |  6.68e+00 |     -- |  2.09e+01 |  3.18e+01
  752940 |  5.02e-04 |     -- |  6.97e+00 |  8.90e+00 |     -- |  2.04e+01 |  3.04e+01
  756945 |  5.06e-04 |     -- |  5.56e+00 |  7.26e+00 |     -- |  2.06e+01 |  3.10e+01
  760950 |  4.90e-04 |     -- |  4.88e+00 |  6.57e+00 |     -- |  2.03e+01 |  3.06e+01
  764955 |  5.00e-04 |     -- |  6.59e+00 |  8.47e+00 |     -- |  2.03e+01 |  3.05e+01
  768960 |  5.14e-04 |     -- |  4.88e+00 |  6.66e+00 |     -- |  2.06e+01 |  3.13e+01
  772965 |  4.82e-04 |     -- |  6.14e+00 |  7.88e+00 |     -- |  2.03e+01 |  3.00e+01
  776970 |  5.69e-04 |     -- |  6.32e+00 |  8.31e+00 |     -- |  2.14e+01 |  3.27e+01
  780975 |  4.67e-04 |     -- |  5.93e+00 |  7.75e+00 |     -- |  1.96e+01 |  2.96e+01
  784980 |  4.53e-04 |     -- |  5.15e+00 |  6.72e+00 |     -- |  1.98e+01 |  2.93e+01
  788985 |  7.45e-04 |     -- |  4.92e+00 |  6.47e+00 |     -- |  2.17e+01 |  3.81e+01
  792990 |  4.79e-04 |     -- |  6.47e+00 |  8.11e+00 |     -- |  2.00e+01 |  2.99e+01
  796995 |  5.67e-04 |     -- |  6.64e+00 |  8.92e+00 |     -- |  2.13e+01 |  3.25e+01
  801000 |  5.86e-04 |     -- |  5.43e+00 |  7.23e+00 |     -- |  2.17e+01 |  3.35e+01
  805005 |  4.93e-04 |     -- |  6.06e+00 |  8.01e+00 |     -- |  2.04e+01 |  3.04e+01
  809010 |  4.32e-04 |     -- |  5.21e+00 |  6.79e+00 |     -- |  1.93e+01 |  2.86e+01
  813015 |  4.61e-04 |     -- |  5.32e+00 |  6.95e+00 |     -- |  1.96e+01 |  2.95e+01
  817020 |  4.44e-04 |     -- |  5.90e+00 |  7.57e+00 |     -- |  1.96e+01 |  2.88e+01
  821025 |  4.26e-04 |     -- |  5.53e+00 |  7.22e+00 |     -- |  1.88e+01 |  2.83e+01
  825030 |  4.70e-04 |     -- |  6.55e+00 |  8.57e+00 |     -- |  2.00e+01 |  2.94e+01
  829035 |  4.66e-04 |     -- |  5.52e+00 |  7.14e+00 |     -- |  1.96e+01 |  2.97e+01
  833040 |  4.62e-04 |     -- |  4.83e+00 |  6.31e+00 |     -- |  1.99e+01 |  2.97e+01
  837045 |  4.94e-04 |     -- |  6.04e+00 |  8.04e+00 |     -- |  2.00e+01 |  3.04e+01
  841050 |  4.45e-04 |     -- |  6.96e+00 |  8.64e+00 |     -- |  1.95e+01 |  2.86e+01
  845055 |  4.40e-04 |     -- |  5.76e+00 |  7.41e+00 |     -- |  1.92e+01 |  2.87e+01
  849060 |  4.52e-04 |     -- |  4.97e+00 |  6.96e+00 |     -- |  1.97e+01 |  2.92e+01
  853065 |  4.75e-04 |     -- |  5.94e+00 |  7.59e+00 |     -- |  1.99e+01 |  2.99e+01
  857070 |  4.73e-04 |     -- |  5.90e+00 |  7.77e+00 |     -- |  2.01e+01 |  2.98e+01
  861075 |  4.47e-04 |     -- |  4.85e+00 |  6.44e+00 |     -- |  1.92e+01 |  2.92e+01
  865080 |  4.53e-04 |     -- |  4.44e+00 |  6.00e+00 |     -- |  2.00e+01 |  2.95e+01
  869085 |  4.58e-04 |     -- |  6.49e+00 |  8.30e+00 |     -- |  1.95e+01 |  2.91e+01
  873090 |  4.77e-04 |     -- |  6.18e+00 |  8.04e+00 |     -- |  1.98e+01 |  2.98e+01
  877095 |  4.56e-04 |     -- |  6.41e+00 |  8.51e+00 |     -- |  1.93e+01 |  2.90e+01
  881100 |  4.73e-04 |     -- |  4.97e+00 |  6.56e+00 |     -- |  1.99e+01 |  3.00e+01
  885105 |  4.23e-04 |     -- |  5.37e+00 |  7.13e+00 |     -- |  1.91e+01 |  2.82e+01
  889110 |  4.49e-04 |     -- |  5.72e+00 |  7.47e+00 |     -- |  1.95e+01 |  2.90e+01
  893115 |  4.27e-04 |     -- |  6.20e+00 |  7.83e+00 |     -- |  1.87e+01 |  2.81e+01
  897120 |  4.31e-04 |     -- |  5.31e+00 |  6.82e+00 |     -- |  1.91e+01 |  2.86e+01
  901125 |  4.23e-04 |     -- |  5.36e+00 |  7.26e+00 |     -- |  1.89e+01 |  2.82e+01
  905130 |  4.84e-04 |     -- |  5.58e+00 |  7.39e+00 |     -- |  1.98e+01 |  3.02e+01
  909135 |  3.97e-04 |     -- |  5.33e+00 |  7.13e+00 |     -- |  1.84e+01 |  2.73e+01
  913140 |  6.83e-04 |     -- |  4.36e+00 |  6.00e+00 |     -- |  2.01e+01 |  3.65e+01
  917145 |  3.46e-04 |     -- |  4.72e+00 |  6.20e+00 |     -- |  1.74e+01 |  2.56e+01
  921150 |  3.70e-04 |     -- |  6.23e+00 |  7.87e+00 |     -- |  1.76e+01 |  2.60e+01
  925155 |  3.67e-04 |     -- |  5.17e+00 |  6.98e+00 |     -- |  1.74e+01 |  2.62e+01
  929160 |  3.49e-04 |     -- |  4.73e+00 |  6.42e+00 |     -- |  1.76e+01 |  2.56e+01
  933165 |  3.48e-04 |     -- |  5.77e+00 |  7.68e+00 |     -- |  1.72e+01 |  2.53e+01
  937170 |  4.14e-04 |     -- |  4.25e+00 |  5.51e+00 |     -- |  1.86e+01 |  2.82e+01
  941175 |  3.72e-04 |     -- |  5.81e+00 |  7.57e+00 |     -- |  1.77e+01 |  2.62e+01
  945180 |  3.92e-04 |     -- |  6.37e+00 |  7.89e+00 |     -- |  1.81e+01 |  2.69e+01
  949185 |  3.93e-04 |     -- |  5.94e+00 |  7.56e+00 |     -- |  1.82e+01 |  2.70e+01
  953190 |  3.93e-04 |     -- |  6.40e+00 |  8.43e+00 |     -- |  1.80e+01 |  2.68e+01
