Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  624780 |  6.59e-04 |     -- |  5.54e+00 |  7.20e+00 |     -- |  2.36e+01 |  3.56e+01
  628785 |  6.51e-04 |     -- |  5.71e+00 |  7.60e+00 |     -- |  2.34e+01 |  3.53e+01
  632790 |  6.55e-04 |     -- |  5.70e+00 |  7.76e+00 |     -- |  2.34e+01 |  3.54e+01
  636795 |  6.48e-04 |     -- |  5.15e+00 |  6.77e+00 |     -- |  2.33e+01 |  3.53e+01
  640800 |  6.38e-04 |     -- |  4.90e+00 |  6.45e+00 |     -- |  2.35e+01 |  3.51e+01
  644805 |  6.36e-04 |     -- |  5.27e+00 |  7.01e+00 |     -- |  2.33e+01 |  3.50e+01
  648810 |  6.62e-04 |     -- |  6.70e+00 |  8.50e+00 |     -- |  2.34e+01 |  3.54e+01
  652815 |  6.35e-04 |     -- |  5.19e+00 |  6.85e+00 |     -- |  2.32e+01 |  3.50e+01
  656820 |  6.08e-04 |     -- |  5.50e+00 |  7.02e+00 |     -- |  2.29e+01 |  3.42e+01
  660825 |  6.94e-04 |     -- |  4.66e+00 |  6.25e+00 |     -- |  2.35e+01 |  3.67e+01
  664830 |  6.17e-04 |     -- |  5.57e+00 |  7.38e+00 |     -- |  2.30e+01 |  3.43e+01
  668835 |  5.91e-04 |     -- |  5.59e+00 |  7.43e+00 |     -- |  2.25e+01 |  3.36e+01
  672840 |  6.31e-04 |     -- |  4.62e+00 |  6.34e+00 |     -- |  2.31e+01 |  3.50e+01
  676845 |  6.25e-04 |     -- |  5.25e+00 |  6.84e+00 |     -- |  2.32e+01 |  3.47e+01
  680850 |  5.73e-04 |     -- |  5.24e+00 |  6.98e+00 |     -- |  2.24e+01 |  3.31e+01
  684855 |  6.39e-04 |     -- |  4.48e+00 |  6.02e+00 |     -- |  2.31e+01 |  3.52e+01
  688860 |  6.43e-04 |     -- |  5.22e+00 |  7.06e+00 |     -- |  2.31e+01 |  3.52e+01
  692865 |  6.72e-04 |     -- |  5.45e+00 |  7.39e+00 |     -- |  2.35e+01 |  3.59e+01
  696870 |  6.30e-04 |     -- |  5.87e+00 |  7.45e+00 |     -- |  2.32e+01 |  3.47e+01
  700875 |  6.14e-04 |     -- |  6.18e+00 |  8.07e+00 |     -- |  2.28e+01 |  3.41e+01
  704880 |  6.10e-04 |     -- |  5.36e+00 |  7.18e+00 |     -- |  2.27e+01 |  3.42e+01
  708885 |  6.19e-04 |     -- |  4.98e+00 |  6.64e+00 |     -- |  2.26e+01 |  3.46e+01
  712890 |  5.50e-04 |     -- |  5.03e+00 |  6.54e+00 |     -- |  2.19e+01 |  3.25e+01
  716895 |  6.22e-04 |     -- |  5.49e+00 |  7.23e+00 |     -- |  2.28e+01 |  3.45e+01
  720900 |  6.07e-04 |     -- |  4.73e+00 |  6.42e+00 |     -- |  2.26e+01 |  3.43e+01
  724905 |  6.22e-04 |     -- |  4.86e+00 |  6.53e+00 |     -- |  2.30e+01 |  3.47e+01
  728910 |  6.09e-04 |     -- |  4.48e+00 |  6.27e+00 |     -- |  2.29e+01 |  3.43e+01
  732915 |  6.51e-04 |     -- |  5.49e+00 |  7.07e+00 |     -- |  2.31e+01 |  3.54e+01
  736920 |  5.89e-04 |     -- |  5.01e+00 |  6.68e+00 |     -- |  2.27e+01 |  3.37e+01
  740925 |  5.95e-04 |     -- |  5.40e+00 |  6.90e+00 |     -- |  2.26e+01 |  3.38e+01
